ticker,year,statement,line_item,question,answer
AAGH,2023,income_statement,Cost Of Revenue,What was AAGH's Cost Of Revenue in 2023?,AAGH's Cost Of Revenue in 2023 was $-36 thousand (USD).
AAGH,2023,income_statement,Revenue,What was AAGH's Revenue in 2023?,AAGH's Revenue in 2023 was $204 thousand (USD).
AAGH,2023,cash_flow,Net Income/ Starting Line,What was AAGH's Net Income/ Starting Line in 2023?,AAGH's Net Income/ Starting Line in 2023 was $-777 thousand (USD).
AAGH,2023,income_statement,Net Income,What was AAGH's Net Income in 2023?,AAGH's Net Income in 2023 was $-761 thousand (USD).
AAGH,2023,income_statement,Net Income ( Common),What was AAGH's Net Income ( Common) in 2023?,AAGH's Net Income ( Common) in 2023 was $-761 thousand (USD).
AAGH,2023,income_statement,Gross Profit,What was AAGH's Gross Profit in 2023?,AAGH's Gross Profit in 2023 was $169 thousand (USD).
AAGH,2023,income_statement,Non- Operating Income ( Loss),What was AAGH's Non- Operating Income ( Loss) in 2023?,AAGH's Non- Operating Income ( Loss) in 2023 was $-285 thousand (USD).
AAGH,2023,income_statement,Operating Income ( Loss),What was AAGH's Operating Income ( Loss) in 2023?,AAGH's Operating Income ( Loss) in 2023 was $-493 thousand (USD).
AAGH,2023,balance_sheet,Total Assets,What was AAGH's Total Assets in 2023?,AAGH's Total Assets in 2023 was $299 thousand (USD).
AAGH,2023,balance_sheet,Total Liabilities,What was AAGH's Total Liabilities in 2023?,AAGH's Total Liabilities in 2023 was $4.67 million (USD).
AAGH,2023,balance_sheet,Total Liabilities & Equity,What was AAGH's Total Liabilities & Equity in 2023?,AAGH's Total Liabilities & Equity in 2023 was $299 thousand (USD).
AAGH,2023,income_statement,Shares ( Basic),"In 2023, what was AAGH's Shares ( Basic) (Income Statement)?","In 2023, AAGH's Shares ( Basic) was $21.09 billion (USD)."
AAGH,2023,income_statement,Shares ( Diluted),"In 2023, what was AAGH's Shares ( Diluted) (Income Statement)?","In 2023, AAGH's Shares ( Diluted) was $21.09 billion (USD)."
AAGH,2023,income_statement,Sim Fin Id,"In 2023, what was AAGH's Sim Fin Id (Income Statement)?","In 2023, AAGH's Sim Fin Id was $12.44 million (USD)."
AAGH,2023,income_statement,Income ( Loss) From Continuing Operations,"In 2023, what was AAGH's Income ( Loss) From Continuing Operations (Income Statement)?","In 2023, AAGH's Income ( Loss) From Continuing Operations was $-777 thousand (USD)."
AAGH,2023,income_statement,Pretax Income ( Loss),"In 2023, what was AAGH's Pretax Income ( Loss) (Income Statement)?","In 2023, AAGH's Pretax Income ( Loss) was $-777 thousand (USD)."
AAGH,2023,income_statement,"Pretax Income ( Loss), Adj.","In 2023, what was AAGH's Pretax Income ( Loss), Adj. (Income Statement)?","In 2023, AAGH's Pretax Income ( Loss), Adj. was $-777 thousand (USD)."
AAGH,2023,income_statement,Net Income ( Common),"In 2023, what was AAGH's Net Income ( Common) (Income Statement)?","In 2023, AAGH's Net Income ( Common) was $-761 thousand (USD)."
AAGH,2023,income_statement,Net Income,"In 2023, what was AAGH's Net Income (Income Statement)?","In 2023, AAGH's Net Income was $-761 thousand (USD)."
AAGH,2023,income_statement,Operating Expenses,"In 2023, what was AAGH's Operating Expenses (Income Statement)?","In 2023, AAGH's Operating Expenses was $-661 thousand (USD)."
AAGH,2023,income_statement,"Selling, General & Administrative","In 2023, what was AAGH's Selling, General & Administrative (Income Statement)?","In 2023, AAGH's Selling, General & Administrative was $-661 thousand (USD)."
AAGH,2023,income_statement,Operating Income ( Loss),"In 2023, what was AAGH's Operating Income ( Loss) (Income Statement)?","In 2023, AAGH's Operating Income ( Loss) was $-493 thousand (USD)."
AAGH,2023,income_statement,"Interest Expense, Net","In 2023, what was AAGH's Interest Expense, Net (Income Statement)?","In 2023, AAGH's Interest Expense, Net was $-320 thousand (USD)."
AAGH,2023,balance_sheet,Shares ( Basic),"In 2023, what was AAGH's Shares ( Basic) (Balance Sheet)?","In 2023, AAGH's Shares ( Basic) was $21.09 billion (USD)."
AAGH,2023,balance_sheet,Shares ( Diluted),"In 2023, what was AAGH's Shares ( Diluted) (Balance Sheet)?","In 2023, AAGH's Shares ( Diluted) was $21.09 billion (USD)."
AAGH,2023,balance_sheet,Sim Fin Id,"In 2023, what was AAGH's Sim Fin Id (Balance Sheet)?","In 2023, AAGH's Sim Fin Id was $12.44 million (USD)."
AAGH,2023,balance_sheet,Retained Earnings,"In 2023, what was AAGH's Retained Earnings (Balance Sheet)?","In 2023, AAGH's Retained Earnings was $-9.03 million (USD)."
AAGH,2023,balance_sheet,Share Capital & Additional Paid- In Capital,"In 2023, what was AAGH's Share Capital & Additional Paid- In Capital (Balance Sheet)?","In 2023, AAGH's Share Capital & Additional Paid- In Capital was $4.73 million (USD)."
AAGH,2023,balance_sheet,Total Liabilities,"In 2023, what was AAGH's Total Liabilities (Balance Sheet)?","In 2023, AAGH's Total Liabilities was $4.67 million (USD)."
AAGH,2023,balance_sheet,Total Equity,"In 2023, what was AAGH's Total Equity (Balance Sheet)?","In 2023, AAGH's Total Equity was $-4.37 million (USD)."
AAGH,2023,balance_sheet,Total Current Liabilities,"In 2023, what was AAGH's Total Current Liabilities (Balance Sheet)?","In 2023, AAGH's Total Current Liabilities was $2.90 million (USD)."
AAGH,2023,balance_sheet,Total Noncurrent Liabilities,"In 2023, what was AAGH's Total Noncurrent Liabilities (Balance Sheet)?","In 2023, AAGH's Total Noncurrent Liabilities was $1.77 million (USD)."
AAGH,2023,balance_sheet,Payables & Accruals,"In 2023, what was AAGH's Payables & Accruals (Balance Sheet)?","In 2023, AAGH's Payables & Accruals was $1.64 million (USD)."
AAGH,2023,balance_sheet,Long Term Debt,"In 2023, what was AAGH's Long Term Debt (Balance Sheet)?","In 2023, AAGH's Long Term Debt was $1.52 million (USD)."
AAGH,2023,balance_sheet,Short Term Debt,"In 2023, what was AAGH's Short Term Debt (Balance Sheet)?","In 2023, AAGH's Short Term Debt was $727 thousand (USD)."
AAGH,2023,cash_flow,Shares ( Basic),"In 2023, what was AAGH's Shares ( Basic) (Cash Flow)?","In 2023, AAGH's Shares ( Basic) was $21.09 billion (USD)."
AAGH,2023,cash_flow,Shares ( Diluted),"In 2023, what was AAGH's Shares ( Diluted) (Cash Flow)?","In 2023, AAGH's Shares ( Diluted) was $21.09 billion (USD)."
AAGH,2023,cash_flow,Sim Fin Id,"In 2023, what was AAGH's Sim Fin Id (Cash Flow)?","In 2023, AAGH's Sim Fin Id was $12.44 million (USD)."
AAGH,2023,cash_flow,Net Income/ Starting Line,"In 2023, what was AAGH's Net Income/ Starting Line (Cash Flow)?","In 2023, AAGH's Net Income/ Starting Line was $-777 thousand (USD)."
AAGH,2023,cash_flow,Cash From ( Repayment Of) Debt,"In 2023, what was AAGH's Cash From ( Repayment Of) Debt (Cash Flow)?","In 2023, AAGH's Cash From ( Repayment Of) Debt was $549 thousand (USD)."
AAGH,2023,cash_flow,Net Cash From Financing Activities,"In 2023, what was AAGH's Net Cash From Financing Activities (Cash Flow)?","In 2023, AAGH's Net Cash From Financing Activities was $426 thousand (USD)."
AAGH,2023,cash_flow,Net Cash From Operating Activities,"In 2023, what was AAGH's Net Cash From Operating Activities (Cash Flow)?","In 2023, AAGH's Net Cash From Operating Activities was $-390 thousand (USD)."
AAGH,2023,cash_flow,Change In Working Capital,"In 2023, what was AAGH's Change In Working Capital (Cash Flow)?","In 2023, AAGH's Change In Working Capital was $367 thousand (USD)."
AAGH,2023,cash_flow,Change In Fixed Assets & Intangibles,"In 2023, what was AAGH's Change In Fixed Assets & Intangibles (Cash Flow)?","In 2023, AAGH's Change In Fixed Assets & Intangibles was $-44 thousand (USD)."
AAGH,2023,cash_flow,Net Cash From Investing Activities,"In 2023, what was AAGH's Net Cash From Investing Activities (Cash Flow)?","In 2023, AAGH's Net Cash From Investing Activities was $-44 thousand (USD)."
AAGH,2023,cash_flow,Cash From ( Repurchase Of) Equity,"In 2023, what was AAGH's Cash From ( Repurchase Of) Equity (Cash Flow)?","In 2023, AAGH's Cash From ( Repurchase Of) Equity was $26 thousand (USD)."
AAGH,2023,cash_flow,Non- Cash Items,"In 2023, what was AAGH's Non- Cash Items (Cash Flow)?","In 2023, AAGH's Non- Cash Items was $11 thousand (USD)."
AAGH,2024,income_statement,Cost Of Revenue,What was AAGH's Cost Of Revenue in 2024?,AAGH's Cost Of Revenue in 2024 was $-125 thousand (USD).
AAGH,2024,income_statement,Revenue,What was AAGH's Revenue in 2024?,AAGH's Revenue in 2024 was $295 thousand (USD).
AAGH,2024,cash_flow,Net Income/ Starting Line,What was AAGH's Net Income/ Starting Line in 2024?,AAGH's Net Income/ Starting Line in 2024 was $-1.23 million (USD).
AAGH,2024,income_statement,Net Income,What was AAGH's Net Income in 2024?,AAGH's Net Income in 2024 was $-1.22 million (USD).
AAGH,2024,income_statement,Net Income ( Common),What was AAGH's Net Income ( Common) in 2024?,AAGH's Net Income ( Common) in 2024 was $-1.22 million (USD).
AAGH,2024,income_statement,Gross Profit,What was AAGH's Gross Profit in 2024?,AAGH's Gross Profit in 2024 was $170 thousand (USD).
AAGH,2024,income_statement,Non- Operating Income ( Loss),What was AAGH's Non- Operating Income ( Loss) in 2024?,AAGH's Non- Operating Income ( Loss) in 2024 was $-444 thousand (USD).
AAGH,2024,income_statement,Operating Income ( Loss),What was AAGH's Operating Income ( Loss) in 2024?,AAGH's Operating Income ( Loss) in 2024 was $-783 thousand (USD).
AAGH,2024,balance_sheet,Total Assets,What was AAGH's Total Assets in 2024?,AAGH's Total Assets in 2024 was $323 thousand (USD).
AAGH,2024,balance_sheet,Total Liabilities,What was AAGH's Total Liabilities in 2024?,AAGH's Total Liabilities in 2024 was $5.64 million (USD).
AAGH,2024,balance_sheet,Total Liabilities & Equity,What was AAGH's Total Liabilities & Equity in 2024?,AAGH's Total Liabilities & Equity in 2024 was $323 thousand (USD).
AAGH,2024,income_statement,Shares ( Basic),"In 2024, what was AAGH's Shares ( Basic) (Income Statement)?","In 2024, AAGH's Shares ( Basic) was $21.12 billion (USD)."
AAGH,2024,income_statement,Shares ( Diluted),"In 2024, what was AAGH's Shares ( Diluted) (Income Statement)?","In 2024, AAGH's Shares ( Diluted) was $21.12 billion (USD)."
AAGH,2024,income_statement,Sim Fin Id,"In 2024, what was AAGH's Sim Fin Id (Income Statement)?","In 2024, AAGH's Sim Fin Id was $12.44 million (USD)."
AAGH,2024,income_statement,Income ( Loss) From Continuing Operations,"In 2024, what was AAGH's Income ( Loss) From Continuing Operations (Income Statement)?","In 2024, AAGH's Income ( Loss) From Continuing Operations was $-1.23 million (USD)."
AAGH,2024,income_statement,Pretax Income ( Loss),"In 2024, what was AAGH's Pretax Income ( Loss) (Income Statement)?","In 2024, AAGH's Pretax Income ( Loss) was $-1.23 million (USD)."
AAGH,2024,income_statement,"Pretax Income ( Loss), Adj.","In 2024, what was AAGH's Pretax Income ( Loss), Adj. (Income Statement)?","In 2024, AAGH's Pretax Income ( Loss), Adj. was $-1.23 million (USD)."
AAGH,2024,income_statement,Net Income ( Common),"In 2024, what was AAGH's Net Income ( Common) (Income Statement)?","In 2024, AAGH's Net Income ( Common) was $-1.22 million (USD)."
AAGH,2024,income_statement,Net Income,"In 2024, what was AAGH's Net Income (Income Statement)?","In 2024, AAGH's Net Income was $-1.22 million (USD)."
AAGH,2024,income_statement,Operating Expenses,"In 2024, what was AAGH's Operating Expenses (Income Statement)?","In 2024, AAGH's Operating Expenses was $-952 thousand (USD)."
AAGH,2024,income_statement,"Selling, General & Administrative","In 2024, what was AAGH's Selling, General & Administrative (Income Statement)?","In 2024, AAGH's Selling, General & Administrative was $-952 thousand (USD)."
AAGH,2024,income_statement,Operating Income ( Loss),"In 2024, what was AAGH's Operating Income ( Loss) (Income Statement)?","In 2024, AAGH's Operating Income ( Loss) was $-783 thousand (USD)."
AAGH,2024,income_statement,"Interest Expense, Net","In 2024, what was AAGH's Interest Expense, Net (Income Statement)?","In 2024, AAGH's Interest Expense, Net was $-444 thousand (USD)."
AAGH,2024,balance_sheet,Shares ( Diluted),"In 2024, what was AAGH's Shares ( Diluted) (Balance Sheet)?","In 2024, AAGH's Shares ( Diluted) was $21.12 billion (USD)."
AAGH,2024,balance_sheet,Shares ( Basic),"In 2024, what was AAGH's Shares ( Basic) (Balance Sheet)?","In 2024, AAGH's Shares ( Basic) was $21.12 billion (USD)."
AAGH,2024,balance_sheet,Sim Fin Id,"In 2024, what was AAGH's Sim Fin Id (Balance Sheet)?","In 2024, AAGH's Sim Fin Id was $12.44 million (USD)."
AAGH,2024,balance_sheet,Retained Earnings,"In 2024, what was AAGH's Retained Earnings (Balance Sheet)?","In 2024, AAGH's Retained Earnings was $-10.25 million (USD)."
AAGH,2024,balance_sheet,Total Liabilities,"In 2024, what was AAGH's Total Liabilities (Balance Sheet)?","In 2024, AAGH's Total Liabilities was $5.64 million (USD)."
AAGH,2024,balance_sheet,Total Equity,"In 2024, what was AAGH's Total Equity (Balance Sheet)?","In 2024, AAGH's Total Equity was $-5.31 million (USD)."
AAGH,2024,balance_sheet,Share Capital & Additional Paid- In Capital,"In 2024, what was AAGH's Share Capital & Additional Paid- In Capital (Balance Sheet)?","In 2024, AAGH's Share Capital & Additional Paid- In Capital was $5.02 million (USD)."
AAGH,2024,balance_sheet,Total Current Liabilities,"In 2024, what was AAGH's Total Current Liabilities (Balance Sheet)?","In 2024, AAGH's Total Current Liabilities was $3.59 million (USD)."
AAGH,2024,balance_sheet,Total Noncurrent Liabilities,"In 2024, what was AAGH's Total Noncurrent Liabilities (Balance Sheet)?","In 2024, AAGH's Total Noncurrent Liabilities was $2.04 million (USD)."
AAGH,2024,balance_sheet,Long Term Debt,"In 2024, what was AAGH's Long Term Debt (Balance Sheet)?","In 2024, AAGH's Long Term Debt was $1.83 million (USD)."
AAGH,2024,balance_sheet,Payables & Accruals,"In 2024, what was AAGH's Payables & Accruals (Balance Sheet)?","In 2024, AAGH's Payables & Accruals was $1.56 million (USD)."
AAGH,2024,balance_sheet,Short Term Debt,"In 2024, what was AAGH's Short Term Debt (Balance Sheet)?","In 2024, AAGH's Short Term Debt was $607 thousand (USD)."
AAGH,2024,cash_flow,Shares ( Basic),"In 2024, what was AAGH's Shares ( Basic) (Cash Flow)?","In 2024, AAGH's Shares ( Basic) was $21.12 billion (USD)."
AAGH,2024,cash_flow,Shares ( Diluted),"In 2024, what was AAGH's Shares ( Diluted) (Cash Flow)?","In 2024, AAGH's Shares ( Diluted) was $21.12 billion (USD)."
AAGH,2024,cash_flow,Sim Fin Id,"In 2024, what was AAGH's Sim Fin Id (Cash Flow)?","In 2024, AAGH's Sim Fin Id was $12.44 million (USD)."
AAGH,2024,cash_flow,Net Income/ Starting Line,"In 2024, what was AAGH's Net Income/ Starting Line (Cash Flow)?","In 2024, AAGH's Net Income/ Starting Line was $-1.23 million (USD)."
AAGH,2024,cash_flow,Net Cash From Financing Activities,"In 2024, what was AAGH's Net Cash From Financing Activities (Cash Flow)?","In 2024, AAGH's Net Cash From Financing Activities was $617 thousand (USD)."
AAGH,2024,cash_flow,Net Cash From Operating Activities,"In 2024, what was AAGH's Net Cash From Operating Activities (Cash Flow)?","In 2024, AAGH's Net Cash From Operating Activities was $-616 thousand (USD)."
AAGH,2024,cash_flow,Change In Working Capital,"In 2024, what was AAGH's Change In Working Capital (Cash Flow)?","In 2024, AAGH's Change In Working Capital was $495 thousand (USD)."
AAGH,2024,cash_flow,Cash From ( Repayment Of) Debt,"In 2024, what was AAGH's Cash From ( Repayment Of) Debt (Cash Flow)?","In 2024, AAGH's Cash From ( Repayment Of) Debt was $-191 thousand (USD)."
AAGH,2024,cash_flow,Cash From ( Repurchase Of) Equity,"In 2024, what was AAGH's Cash From ( Repurchase Of) Equity (Cash Flow)?","In 2024, AAGH's Cash From ( Repurchase Of) Equity was $115 thousand (USD)."
AAGH,2024,cash_flow,Non- Cash Items,"In 2024, what was AAGH's Non- Cash Items (Cash Flow)?","In 2024, AAGH's Non- Cash Items was $101 thousand (USD)."
AAGH,2024,cash_flow,Depreciation & Amortization,"In 2024, what was AAGH's Depreciation & Amortization (Cash Flow)?","In 2024, AAGH's Depreciation & Amortization was $15 thousand (USD)."
AAGH,2024,cash_flow,Net Change In Cash,"In 2024, what was AAGH's Net Change In Cash (Cash Flow)?","In 2024, AAGH's Net Change In Cash was $2 thousand (USD)."
ADP,2023,income_statement,Cost Of Revenue,What was ADP's Cost Of Revenue in 2023?,ADP's Cost Of Revenue in 2023 was $-8.66 billion (USD).
ADP,2023,income_statement,Revenue,What was ADP's Revenue in 2023?,ADP's Revenue in 2023 was $18.01 billion (USD).
ADP,2023,cash_flow,Net Income/ Starting Line,What was ADP's Net Income/ Starting Line in 2023?,ADP's Net Income/ Starting Line in 2023 was $3.41 billion (USD).
ADP,2023,income_statement,Net Income,What was ADP's Net Income in 2023?,ADP's Net Income in 2023 was $3.41 billion (USD).
ADP,2023,income_statement,Net Income ( Common),What was ADP's Net Income ( Common) in 2023?,ADP's Net Income ( Common) in 2023 was $3.41 billion (USD).
ADP,2023,income_statement,Gross Profit,What was ADP's Gross Profit in 2023?,ADP's Gross Profit in 2023 was $9.35 billion (USD).
ADP,2023,income_statement,Non- Operating Income ( Loss),What was ADP's Non- Operating Income ( Loss) in 2023?,ADP's Non- Operating Income ( Loss) in 2023 was $-69.80 million (USD).
ADP,2023,income_statement,Operating Income ( Loss),What was ADP's Operating Income ( Loss) in 2023?,ADP's Operating Income ( Loss) in 2023 was $4.51 billion (USD).
ADP,2023,balance_sheet,Total Assets,What was ADP's Total Assets in 2023?,ADP's Total Assets in 2023 was $50.97 billion (USD).
ADP,2023,balance_sheet,Total Liabilities,What was ADP's Total Liabilities in 2023?,ADP's Total Liabilities in 2023 was $47.46 billion (USD).
ADP,2023,balance_sheet,Total Liabilities & Equity,What was ADP's Total Liabilities & Equity in 2023?,ADP's Total Liabilities & Equity in 2023 was $50.97 billion (USD).
ADP,2023,income_statement,Revenue,"In 2023, what was ADP's Revenue (Income Statement)?","In 2023, ADP's Revenue was $18.01 billion (USD)."
ADP,2023,income_statement,Gross Profit,"In 2023, what was ADP's Gross Profit (Income Statement)?","In 2023, ADP's Gross Profit was $9.35 billion (USD)."
ADP,2023,income_statement,Cost Of Revenue,"In 2023, what was ADP's Cost Of Revenue (Income Statement)?","In 2023, ADP's Cost Of Revenue was $-8.66 billion (USD)."
ADP,2023,income_statement,Operating Expenses,"In 2023, what was ADP's Operating Expenses (Income Statement)?","In 2023, ADP's Operating Expenses was $-4.85 billion (USD)."
ADP,2023,income_statement,Operating Income ( Loss),"In 2023, what was ADP's Operating Income ( Loss) (Income Statement)?","In 2023, ADP's Operating Income ( Loss) was $4.51 billion (USD)."
ADP,2023,income_statement,"Pretax Income ( Loss), Adj.","In 2023, what was ADP's Pretax Income ( Loss), Adj. (Income Statement)?","In 2023, ADP's Pretax Income ( Loss), Adj. was $4.44 billion (USD)."
ADP,2023,income_statement,Pretax Income ( Loss),"In 2023, what was ADP's Pretax Income ( Loss) (Income Statement)?","In 2023, ADP's Pretax Income ( Loss) was $4.44 billion (USD)."
ADP,2023,income_statement,"Selling, General & Administrative","In 2023, what was ADP's Selling, General & Administrative (Income Statement)?","In 2023, ADP's Selling, General & Administrative was $-3.55 billion (USD)."
ADP,2023,income_statement,Net Income ( Common),"In 2023, what was ADP's Net Income ( Common) (Income Statement)?","In 2023, ADP's Net Income ( Common) was $3.41 billion (USD)."
ADP,2023,income_statement,Income ( Loss) From Continuing Operations,"In 2023, what was ADP's Income ( Loss) From Continuing Operations (Income Statement)?","In 2023, ADP's Income ( Loss) From Continuing Operations was $3.41 billion (USD)."
ADP,2023,income_statement,Net Income,"In 2023, what was ADP's Net Income (Income Statement)?","In 2023, ADP's Net Income was $3.41 billion (USD)."
ADP,2023,income_statement,"Income Tax ( Expense) Benefit, Net","In 2023, what was ADP's Income Tax ( Expense) Benefit, Net (Income Statement)?","In 2023, ADP's Income Tax ( Expense) Benefit, Net was $-1.03 billion (USD)."
ADP,2023,balance_sheet,Total Liabilities & Equity,"In 2023, what was ADP's Total Liabilities & Equity (Balance Sheet)?","In 2023, ADP's Total Liabilities & Equity was $50.97 billion (USD)."
ADP,2023,balance_sheet,Total Assets,"In 2023, what was ADP's Total Assets (Balance Sheet)?","In 2023, ADP's Total Assets was $50.97 billion (USD)."
ADP,2023,balance_sheet,Total Liabilities,"In 2023, what was ADP's Total Liabilities (Balance Sheet)?","In 2023, ADP's Total Liabilities was $47.46 billion (USD)."
ADP,2023,balance_sheet,Total Current Liabilities,"In 2023, what was ADP's Total Current Liabilities (Balance Sheet)?","In 2023, ADP's Total Current Liabilities was $42.77 billion (USD)."
ADP,2023,balance_sheet,Total Current Assets,"In 2023, what was ADP's Total Current Assets (Balance Sheet)?","In 2023, ADP's Total Current Assets was $42.17 billion (USD)."
ADP,2023,balance_sheet,Retained Earnings,"In 2023, what was ADP's Retained Earnings (Balance Sheet)?","In 2023, ADP's Retained Earnings was $22.12 billion (USD)."
ADP,2023,balance_sheet,Treasury Stock,"In 2023, what was ADP's Treasury Stock (Balance Sheet)?","In 2023, ADP's Treasury Stock was $-18.47 billion (USD)."
ADP,2023,balance_sheet,Total Noncurrent Assets,"In 2023, what was ADP's Total Noncurrent Assets (Balance Sheet)?","In 2023, ADP's Total Noncurrent Assets was $8.80 billion (USD)."
ADP,2023,balance_sheet,Other Long Term Assets,"In 2023, what was ADP's Other Long Term Assets (Balance Sheet)?","In 2023, ADP's Other Long Term Assets was $8.12 billion (USD)."
ADP,2023,balance_sheet,Total Noncurrent Liabilities,"In 2023, what was ADP's Total Noncurrent Liabilities (Balance Sheet)?","In 2023, ADP's Total Noncurrent Liabilities was $4.69 billion (USD)."
